date,home_team,away_team,home_score,away_score,yellow_cards
2023-01-01,Team A,Team B,2,1,3
2023-01-02,Team C,Team D,3,0,2
2023-01-03,Team B,Team C,1,1,1
2023-01-04,Team D,Team A,0,2,4
2023-01-05,Team A,Team C,2,0,2
2023-01-06,Team D,Team B,1,1,3
2023-01-07,Team E,Team F,2,3,2
2023-01-08,Team G,Team H,1,0,1
2023-01-09,Team A,Team D,3,1,4
2023-01-10,Team B,Team E,2,2,2
2023-01-11,Team C,Team F,1,1,1
2023-01-12,Team G,Team H,2,0,2
2023-01-13,Team A,Team C,3,0,2
2023-01-14,Team D,Team E,1,1,3
2023-01-15,Team B,Team F,2,2,2
2023-01-16,Team C,Team G,1,1,1
2023-01-17,Team H,Team A,0,2,4
2023-01-18,Team E,Team B,2,3,2
2023-01-19,Team F,Team C,1,1,1
2023-01-20,Team G,Team D,2,0,2
2023-01-21,Team A,Team E,3,1,4
2023-01-22,Team B,Team F,2,2,2
2023-01-23,Team C,Team G,1,1,1
2023-01-24,Team H,Team D,0,2,4
2023-01-25,Team E,Team A,2,3,2
2023-01-26,Team F,Team B,1,1,1
2023-01-27,Team G,Team C,2,0,2
2023-01-28,Team A,Team H,3,0,2
2023-01-29,Team D,Team E,1,1,3
2023-01-30,Team B,Team F,2,2,2
2023-01-31,Team C,Team G,1,1,1
2023-02-01,Team H,Team A,0,2,4
2023-02-02,Team E,Team B,2,3,2
2023-02-03,Team F,Team C,1,1,1
2023-02-04,Team G,Team D,2,0,2
2023-02-05,Team A,Team E,3,1,4
2023-02-06,Team B,Team F,2,2,2
2023-02-07,Team C,Team G,1,1,1
2023-02-08,Team H,Team D,0,2,4
2023-02-09,Team E,Team A,2,3,2
2023-02-10,Team F,Team B,1,1,1
2023-02-11,Team G,Team C,2,0,2
2023-02-12,Team A,Team H,3,0,2
2023-02-13,Team D,Team E,1,1,3
2023-02-14,Team B,Team F,2,2,2
2023-02-15,Team C,Team G,1,1,1
2023-02-16,Team H,Team D,0,2,4
2023-02-17,Team E,Team A,2,3,2
2023-02-18,Team F,Team B,1,1,1
2023-02-19,Team G,Team C,2,0,2
2023-02-20,Team A,Team E,3,1,4
2023-02-21,Team B,Team F,2,2,2
2023-02-22,Team C,Team G,1,1,1
2023-02-23,Team H,Team D,0,2,4
2023-02-24,Team E,Team A,2,3,2
2023-02-25,Team F,Team B,1,1,1
2023-02-26,Team G,Team C,2,0,2
2023-02-27,Team A,Team H,3,0,2
2023-02-28,Team D,Team E,1,1,3
2023-03-01,Team B,Team F,2,2,2
2023-03-02,Team C,Team G,1,1,1
2023-03-03,Team H,Team D,0,2,4
2023-03-04,Team E,Team A,2,3,2
2023-03-05,Team F,Team B,1,1,1
2023-03-06,Team G,Team C,2,0,2
2023-03-07,Team A,Team E,3,1,4
2023-03-08,Team B,Team F,2,2,2
2023-03-09,Team C,Team G,1,1,1
2023-03-10,Team H,Team D,0,2,4
2023-03-11,Team E,Team A,2,3,2
2023-03-12,Team F,Team B,1,1,1
2023-03-13,Team G,Team C,2,0,2
2023-03-14,Team A,Team H,3,0,2
2023-03-15,Team D,Team E,1,1,3
2023-03-16,Team B,Team F,2,2,2
2023-03-17,Team C,Team G,1,1,1
2023-03-18,Team H,Team D,0,2,4
2023-03-19,Team E,Team A,2,3,2
2023-03-20,Team F,Team B,1,1,1
2023-03-21,Team G,Team C,2,0,2
2023-03-22,Team A,Team E,3,1,4
2023-03-23,Team B,Team F,2,2,2
2023-03-24,Team C,Team G,1,1,1
2023-03-25,Team H,Team D,0,2,4
2023-03-26,Team E,Team A,2,3,2
2023-03-27,Team F,Team B,1,1,1
2023-03-28,Team G,Team C,2,0,2
2023-03-29,Team A,Team H,3,0,2
2023-03-30,Team D,Team E,1,1,3
2023-03-31,Team B,Team F,2,2,2
2023-04-01,Team C,Team G,1,1,1
2023-04-02,Team H,Team D,0,2,4
2023-04-03,Team E,Team A,2,3,2
2023-04-04,Team F,Team B,1,1,1
2023-04-05,Team G,Team C,2,0,2
2023-04-06,Team A,Team H,3,0,2
2023-04-07,Team D,Team E,1,1,3
2023-04-08,Team B,Team F,2,2,2
2023-04-09,Team C,Team G,1,1,1
2023-04-10,Team H,Team D,0,2,4
2023-04-11,Team E,Team A,2,3,2
2023-04-12,Team F,Team B,1,1,1
2023-04-13,Team G,Team C,2,0,2
2023-04-14,Team A,Team H,3,0,2
2023-04-15,Team D,Team E,1,1,3
2023-04-16,Team B,Team F,2,2,2
2023-04-17,Team C,Team G,1,1,1
2023-04-18,Team H,Team D,0,2,4
2023-04-19,Team E,Team A,2,3,2
2023-04-20,Team F,Team B,1,1,1
2023-04-21,Team G,Team C,2,0,2
2023-04-22,Team A,Team H,3,0,2
2023-04-23,Team D,Team E,1,1,3
2023-04-24,Team B,Team F,2,2,2
2023-04-25,Team C,Team G,1,1,1
2023-04-26,Team H,Team D,0,2,4
2023-04-27,Team E,Team A,2,3,2
2023-04-28,Team F,Team B,1,1,1
2023-04-29,Team G,Team C,2,0,2
